no,region,house_type,structure,upper_ins_type,lower_ins_type,upper_u,wall_u,lower_u,base_psi_outside,base_psi_inside,window_u,window_attachment_u,window_eta,window_attachement_eta
D-1625,5,戸建,木造,天井断熱,床断熱,0.33,0.42,0.62,0.53,0.76,3.49,2.82,0.32,0.21
D-1629,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.68,0.53,0.76,4.65,3.59,0.63,0.3
D-1630,5,戸建,木造,屋根断熱,床断熱,0.48,0.5,0.48,0.53,0.76,2.15,1.85,0.51,0.3
D-1635,6,戸建,木造,屋根断熱,床断熱,0.5,0.51,0.46,0.53,0.76,3.49,2.82,0.32,0.21
D-1636,6,戸建,木造,屋根断熱,床断熱,0.83,0.83,0.72,0.53,0.76,3.49,2.82,0.32,0.21
D-1637,4,戸建,木造,天井断熱,床断熱,0.25,0.56,0.46,0.53,0.76,3.49,2.82,0.57,0.27
D-1639,5,戸建,木造,屋根断熱,基礎断熱,0.31,0.56,-,0.52,0.52,1.9,1.66,0.29,0.19
D-1640,7,戸建,木造,屋根断熱,床断熱,0.55,0.61,0.48,0.53,0.76,3.49,2.82,0.32,0.21
D-1641,7,戸建,木造,屋根断熱,床断熱,0.55,0.61,0.48,0.53,0.76,3.49,2.82,0.32,0.21
D-1642,7,戸建,木造,天井断熱,床断熱,0.35,0.7,0.86,0.53,0.76,3.49,2.82,0.63,0.3
D-1643,7,戸建,木造,天井断熱,床断熱,0.33,0.48,0.55,0.53,0.76,4.07,3.21,0.63,0.3
D-1645,6,戸建,木造,天井断熱,床断熱,0.13,0.3,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-1647,5,戸建,木造,屋根断熱,床断熱,0.24,0.43,0.41,0.53,0.76,2.33,1.99,0.51,0.3
D-1650,6,戸建,木造,天井断熱,床断熱,0.23,0.51,0.38,0.53,0.76,2.91,2.41,0.29,0.19
D-1651,6,戸建,木造,天井断熱,床断熱,0.25,0.5,0.38,0.53,0.76,2.91,2.41,0.29,0.19
D-1652,6,戸建,木造,天井断熱,床断熱,0.39,0.26,0.38,0.53,0.76,2.33,1.99,0.29,0.19
D-1654,5,戸建,木造,天井断熱,床断熱,0.4,0.5,0.47,0.53,0.76,2.33,1.99,0.32,0.21
D-1655,3,戸建,木造,天井断熱,床断熱,0.18,0.5,0.36,0.37,0.53,1.9,1.66,0.46,0.27
D-1656,3,戸建,木造,屋根断熱,床断熱,0.31,0.5,0.36,0.37,0.53,1.9,1.66,0.46,0.27
D-1657,3,戸建,木造,天井断熱,基礎断熱,0.35,0.42,-,0.38,0.38,2.15,1.85,0.32,0.21
D-1662,5,戸建,木造,屋根断熱,床断熱,0.38,0.61,0.46,0.53,0.76,2.33,1.99,0.51,0.3
D-1666,5,戸建,木造,天井断熱,床断熱,0.41,0.51,0.92,0.53,0.76,4.65,3.59,0.63,0.3
D-1667,5,戸建,木造,天井断熱,基礎断熱,0.25,0.5,-,0.52,0.52,2.33,1.99,0.32,0.21
D-1669,6,戸建,木造,屋根断熱,基礎断熱,0.31,0.56,-,0.52,0.52,1.9,1.66,0.29,0.19
D-1671,6,戸建,木造,天井断熱,基礎断熱,0.45,0.56,-,0.66,0.66,1.9,1.66,0.29,0.19
D-1673,7,戸建,木造,天井断熱,床断熱,0.15,0.45,0.38,0.53,0.76,2.33,1.99,0.32,0.21
D-1674,6,戸建,木造,屋根断熱,床断熱,0.31,0.3,0.29,0.53,0.76,1.16,1.06,0.14,0.09
D-1675,4,戸建,木造,天井断熱,床断熱,0.25,0.51,0.46,0.53,0.76,2.33,1.99,0.29,0.19
D-1679,6,戸建,木造,屋根断熱,床断熱,0.31,0.5,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-1680,6,戸建,木造,屋根断熱,床断熱,0.31,0.6,0.45,0.53,0.76,2.33,1.99,0.32,0.21
D-1681,5,戸建,木造,天井断熱,床断熱,0.37,0.5,0.4,0.53,0.76,2.33,1.99,0.51,0.3
D-1682,7,戸建,木造,屋根断熱,基礎断熱,0.33,0.62,-,0.58,0.58,2.33,1.99,0.32,0.21
D-1685,6,戸建,木造,天井断熱,床断熱,0.35,0.45,0.81,0.53,0.76,2.33,1.99,0.32,0.21
D-1686,4,戸建,木造,天井断熱,床断熱,0.23,0.42,0.53,0.53,0.76,1.9,1.66,0.29,0.19
D-1687,6,戸建,木造,天井断熱,床断熱,0.23,0.51,0.62,0.53,0.76,3.49,2.82,0.63,0.3
D-1689,5,戸建,木造,天井断熱,床断熱,0.12,0.45,0.34,0.53,0.76,2.33,1.99,0.29,0.19
D-1691,5,戸建,木造,屋根断熱,基礎断熱,0.31,0.61,-,0.52,0.52,1.9,1.66,0.46,0.27
D-1692,6,戸建,木造,天井断熱,床断熱,0.22,0.48,0.46,0.53,0.76,2.15,1.85,0.51,0.3
D-1693,6,戸建,木造,天井断熱,床断熱,0.33,0.42,0.47,0.53,0.76,3.49,2.82,0.63,0.3
D-1695,6,戸建,木造,天井断熱,床断熱,0.45,0.56,1.06,0.53,0.76,4.07,3.21,0.63,0.3
D-1696,3,戸建,木造,屋根断熱,基礎断熱,0.28,0.41,-,0.47,0.47,2.33,1.99,0.46,0.27
D-1697,4,戸建,木造,屋根断熱,基礎断熱,0.52,0.58,-,0.6,0.6,2.33,1.99,0.51,0.3
D-1702,4,戸建,木造,天井断熱,床断熱,0.23,0.45,0.46,0.53,0.76,1.9,1.66,0.46,0.27
D-1703,1,戸建,木造,天井断熱,基礎断熱,0.17,0.25,-,0.16,0.16,1.9,1.66,0.46,0.27
D-1704,1,戸建,木造,天井断熱,基礎断熱,0.13,0.2,-,0.12,0.12,1.6,1.42,0.39,0.24
D-1705,4,戸建,木造,天井断熱,床断熱,0.24,0.29,0.49,0.53,0.76,3.49,2.82,0.51,0.3
D-1706,3,戸建,木造,天井断熱,床断熱,0.24,0.29,0.49,0.37,0.53,3.49,2.82,0.51,0.3
D-1709,4,戸建,木造,天井断熱,床断熱,0.25,0.45,0.48,0.53,0.76,3.49,2.82,0.63,0.3
D-1710,7,戸建,木造,屋根断熱,床断熱,0.6,0.78,0.55,0.53,0.76,2.33,1.99,0.32,0.21
D-1711,6,戸建,木造,屋根断熱,基礎断熱,0.55,0.56,-,0.52,0.52,1.9,1.66,0.29,0.19
D-1712,5,戸建,木造,天井断熱,基礎断熱,0.17,0.42,-,0.52,0.52,2.33,1.99,0.32,0.21
D-1713,5,戸建,木造,天井断熱,基礎断熱,0.23,0.42,-,0.52,0.52,2.33,1.99,0.32,0.21
D-1714,7,戸建,木造,天井断熱,基礎断熱,0.35,0.61,-,0.61,0.61,2.33,1.99,0.51,0.3
D-1716,5,戸建,木造,屋根断熱,床断熱,0.31,0.5,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-1717,7,戸建,木造,天井断熱,床断熱,0.7,0.83,0.55,0.53,0.76,4.07,3.21,0.63,0.3
D-1720,5,戸建,木造,屋根断熱,基礎断熱,0.47,0.48,-,0.59,0.59,2.33,1.99,0.46,0.27
D-1723,5,戸建,木造,屋根断熱,床断熱,0.47,0.51,0.5,0.53,0.76,3.49,2.82,0.32,0.21
D-1724,5,戸建,木造,屋根断熱,床断熱,0.47,0.51,0.5,0.53,0.76,3.49,2.82,0.32,0.21
D-1725,1,戸建,木造,天井断熱,床断熱,0.13,0.21,0.21,0.37,0.53,2.33,1.99,0.29,0.19
D-1727,7,戸建,木造,天井断熱,床断熱,0.45,0.56,0.92,0.53,0.76,3.49,2.82,0.63,0.3
D-1729,4,戸建,木造,屋根断熱,基礎断熱,0.37,0.38,-,0.49,0.49,2.33,1.99,0.29,0.19
D-1730,6,戸建,木造,天井断熱,床断熱,0.3,0.38,0.41,0.53,0.76,3.49,2.82,0.51,0.3
D-1731,6,戸建,木造,天井断熱,床断熱,0.3,0.38,0.41,0.53,0.76,3.49,2.82,0.51,0.3
D-1732,6,戸建,木造,屋根断熱,床断熱,0.32,0.45,0.68,0.53,0.76,2.33,1.99,0.51,0.3
D-1733,6,戸建,木造,天井断熱,床断熱,0.41,0.57,0.58,0.53,0.76,3.49,2.82,0.32,0.21
D-1735,6,戸建,木造,天井断熱,床断熱,0.23,0.45,0.48,0.53,0.76,2.33,1.99,0.32,0.21
D-1736,6,戸建,木造,天井断熱,床断熱,0.24,0.45,0.48,0.53,0.76,2.33,1.99,0.32,0.21
D-1737,4,戸建,木造,天井断熱,基礎断熱,0.37,0.46,-,0.51,0.51,2.15,1.85,0.32,0.21
D-1738,6,戸建,木造,屋根断熱,基礎断熱,0.49,0.5,-,0.44,0.44,2.33,1.99,0.32,0.21
D-1739,7,戸建,木造,天井断熱,床断熱,0.23,0.51,0.39,0.53,0.76,3.49,2.82,0.63,0.3
D-1740,7,戸建,木造,天井断熱,床断熱,0.34,0.43,0.36,0.53,0.76,3.49,2.82,0.63,0.3
D-1741,7,戸建,木造,天井断熱,床断熱,0.7,0.83,0.92,0.53,0.76,4.65,3.59,0.63,0.3
D-1742,7,戸建,木造,天井断熱,床断熱,0.7,0.83,0.92,0.53,0.76,4.65,3.59,0.63,0.3
D-1743,7,戸建,木造,天井断熱,床断熱,0.7,0.83,2.22,0.53,0.76,6.51,4.75,0.7,0.3
D-1746,5,戸建,木造,屋根断熱,床断熱,0.31,0.56,0.38,0.53,0.76,2.33,1.99,0.29,0.19
D-1750,6,戸建,木造,天井断熱,基礎断熱,0.28,0.36,-,0.58,0.58,2.33,1.99,0.32,0.21
D-1751,6,戸建,木造,天井断熱,基礎断熱,0.28,0.36,-,0.58,0.58,2.33,1.99,0.32,0.21
D-1754,3,戸建,木造,屋根断熱,床断熱,0.38,0.6,0.35,0.37,0.53,1.9,1.66,0.46,0.27
D-1755,6,戸建,木造,天井断熱,床断熱,0.35,0.45,0.48,0.53,0.76,4.07,3.21,0.32,0.21
D-1757,7,戸建,木造,屋根断熱,床断熱,0.69,0.61,0.86,0.53,0.76,2.33,1.99,0.32,0.21
D-1759,6,戸建,木造,天井断熱,床断熱,0.23,0.51,0.48,0.53,0.76,3.49,2.82,0.63,0.3
D-1764,3,戸建,木造,天井断熱,床断熱,0.41,0.51,0.68,0.37,0.53,2.33,1.99,0.51,0.3
D-1765,3,戸建,木造,天井断熱,床断熱,0.35,0.53,0.55,0.37,0.53,2.33,1.99,0.51,0.3
D-1768,5,戸建,木造,屋根断熱,床断熱,0.33,0.4,0.92,0.53,0.76,2.91,2.41,0.29,0.19
D-1770,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.92,0.53,0.76,4.07,3.21,0.63,0.3
D-1773,6,戸建,木造,天井断熱,床断熱,0.23,0.51,0.68,0.53,0.76,4.07,3.21,0.63,0.3
D-1774,6,戸建,木造,屋根断熱,基礎断熱,0.27,0.45,-,0.39,0.39,2.33,1.99,0.32,0.21
D-1775,6,戸建,木造,天井断熱,基礎断熱,0.17,0.42,-,0.39,0.39,2.33,1.99,0.32,0.21
D-1778,6,戸建,木造,天井断熱,基礎断熱,0.2,0.29,-,0.39,0.39,2.15,1.85,0.51,0.3
D-1779,6,戸建,木造,天井断熱,基礎断熱,0.2,0.29,-,0.39,0.39,2.15,1.85,0.51,0.3
D-1780,6,戸建,木造,天井断熱,床断熱,0.58,0.7,0.62,0.53,0.76,4.65,3.59,0.63,0.3
D-1783,6,戸建,木造,天井断熱,床断熱,0.41,0.51,0.46,0.53,0.76,4.65,3.59,0.63,0.3
D-1784,6,戸建,木造,天井断熱,床断熱,0.38,0.48,0.45,0.53,0.76,3.49,2.82,0.32,0.21
D-1785,6,戸建,木造,天井断熱,床断熱,0.23,0.48,0.45,0.53,0.76,2.33,1.99,0.32,0.21
D-1786,3,戸建,木造,天井断熱,床断熱,0.23,0.42,0.33,0.37,0.53,2.33,1.99,0.29,0.19
D-1791,5,戸建,木造,天井断熱,床断熱,0.33,0.42,0.92,0.53,0.76,3.49,2.82,0.63,0.3
D-1794,5,戸建,木造,天井断熱,床断熱,0.33,0.42,0.47,0.53,0.76,2.33,1.99,0.32,0.21
D-1795,4,戸建,木造,屋根断熱,基礎断熱,0.13,0.24,-,0.48,0.48,2.34,1.99,0.52,0.26
D-1802,7,戸建,木造,天井断熱,床断熱,0.58,0.7,0.92,0.53,0.76,3.49,2.82,0.32,0.21
D-1804,5,戸建,木造,屋根断熱,基礎断熱,0.26,0.28,-,0.3,0.3,2.33,1.99,0.32,0.21
D-1805,6,戸建,木造,天井断熱,床断熱,0.58,0.7,0.81,0.53,0.76,4.65,3.59,0.63,0.3
D-1807,5,戸建,木造,天井断熱,床断熱,0.35,0.45,0.62,0.53,0.76,2.33,1.99,0.32,0.21
D-1811,6,戸建,木造,天井断熱,床断熱,0.25,0.48,0.48,0.53,0.76,3.49,2.82,0.32,0.21
D-1812,6,戸建,木造,天井断熱,床断熱,0.38,0.51,0.46,0.53,0.76,3.49,2.82,0.32,0.21
D-1814,6,戸建,木造,天井断熱,床断熱,0.23,0.45,0.46,0.53,0.76,3.49,2.82,0.32,0.21
D-1815,4,戸建,木造,天井断熱,床断熱,0.33,0.42,0.55,0.53,0.76,2.33,1.99,0.32,0.21
D-1817,3,戸建,木造,天井断熱,基礎断熱,0.23,0.37,-,0.44,0.44,3.49,2.82,0.63,0.3
D-1818,7,戸建,木造,天井断熱,床断熱,0.41,0.51,0.92,0.53,0.76,4.65,3.59,0.63,0.3
D-1820,4,戸建,木造,天井断熱,床断熱,0.65,0.33,0.46,0.53,0.76,4.65,3.59,0.63,0.3
D-1821,3,戸建,木造,天井断熱,床断熱,0.33,0.42,0.48,0.37,0.53,4.07,3.21,0.63,0.3
D-1825,6,戸建,木造,天井断熱,床断熱,0.23,0.42,0.47,0.53,0.76,2.33,1.99,0.51,0.3
D-1826,6,戸建,木造,屋根断熱,床断熱,0.31,0.39,0.35,0.53,0.76,2.33,1.99,0.51,0.3
D-1827,5,戸建,木造,天井断熱,床断熱,0.43,0.7,0.76,0.53,0.76,3.49,2.82,0.51,0.3
D-1830,1,戸建,木造,天井断熱,床断熱,0.14,0.42,0.31,0.37,0.53,1.7,1.5,0.27,0.18
D-1831,1,戸建,木造,天井断熱,床断熱,0.14,0.25,0.23,0.37,0.53,1.7,1.5,0.27,0.18
D-1832,2,戸建,木造,天井断熱,床断熱,0.17,0.42,0.31,0.37,0.53,1.7,1.5,0.27,0.18
D-1833,2,戸建,木造,天井断熱,床断熱,0.17,0.3,0.31,0.37,0.53,1.7,1.5,0.27,0.18
D-1834,2,戸建,木造,天井断熱,床断熱,0.17,0.42,0.31,0.37,0.53,1.7,1.5,0.27,0.18
D-1835,3,戸建,木造,天井断熱,床断熱,0.2,0.42,0.31,0.37,0.53,1.9,1.66,0.46,0.27
D-1836,3,戸建,木造,天井断熱,床断熱,0.2,0.42,0.31,0.37,0.53,1.9,1.66,0.46,0.27
D-1837,4,戸建,木造,天井断熱,床断熱,0.24,0.42,0.49,0.53,0.76,2.33,1.99,0.32,0.21
D-1838,4,戸建,木造,天井断熱,床断熱,0.24,0.42,0.49,0.53,0.76,2.33,1.99,0.32,0.21
D-1839,5,戸建,木造,天井断熱,床断熱,0.24,0.42,0.49,0.53,0.76,2.33,1.99,0.32,0.21
D-1840,5,戸建,木造,天井断熱,床断熱,0.24,0.42,0.49,0.53,0.76,2.33,1.99,0.32,0.21
D-1841,6,戸建,木造,天井断熱,床断熱,0.24,0.42,0.49,0.53,0.76,2.33,1.99,0.32,0.21
D-1842,6,戸建,木造,天井断熱,床断熱,0.24,0.42,0.49,0.53,0.76,2.33,1.99,0.32,0.21
D-1843,7,戸建,木造,天井断熱,床断熱,0.24,0.42,0.49,0.53,0.76,2.33,1.99,0.32,0.21
D-1844,7,戸建,木造,天井断熱,床断熱,0.24,0.42,0.49,0.53,0.76,2.33,1.99,0.32,0.21
D-1850,6,戸建,木造,屋根断熱,床断熱,0.5,0.55,0.75,0.53,0.76,3.49,2.82,0.32,0.21
D-1852,3,戸建,木造,天井断熱,床断熱,0.15,0.32,0.32,0.37,0.53,1.7,1.5,0.27,0.18
D-1853,5,戸建,木造,屋根断熱,基礎断熱,0.48,0.6,-,0.55,0.55,1.9,1.66,0.46,0.27
D-1855,6,戸建,木造,天井断熱,床断熱,0.45,0.7,0.92,0.53,0.76,4.65,3.59,0.63,0.3
D-1857,6,戸建,木造,天井断熱,床断熱,0.23,0.51,0.48,0.53,0.76,2.33,1.99,0.32,0.21
D-1858,6,戸建,木造,天井断熱,床断熱,0.23,0.48,0.48,0.53,0.76,3.49,2.82,0.51,0.3
D-1859,6,戸建,木造,屋根断熱,床断熱,0.55,0.61,0.47,0.53,0.76,2.33,1.99,0.32,0.21
D-1860,5,戸建,木造,屋根断熱,床断熱,0.31,0.42,0.27,0.53,0.76,2.15,1.85,0.32,0.21
D-1861,5,戸建,木造,天井断熱,基礎断熱,0.19,0.42,-,0.39,0.39,2.33,1.99,0.46,0.27
D-1864,4,戸建,木造,屋根断熱,基礎断熱,0.53,0.52,-,0.44,0.44,1.6,1.42,0.24,0.16
D-1865,4,戸建,木造,屋根断熱,基礎断熱,0.53,0.52,-,0.44,0.44,1.6,1.42,0.24,0.16
D-1868,6,戸建,木造,天井断熱,基礎断熱,0.43,0.53,-,0.52,0.52,2.33,1.99,0.32,0.21
D-1869,4,戸建,木造,屋根断熱,基礎断熱,0.53,0.52,-,0.44,0.44,1.6,1.42,0.24,0.16
D-1871,6,戸建,木造,屋根断熱,床断熱,0.31,0.61,0.35,0.53,0.76,3.49,2.82,0.32,0.21
D-1872,6,戸建,木造,屋根断熱,床断熱,0.31,0.61,0.35,0.53,0.76,3.49,2.82,0.32,0.21
D-1874,6,戸建,木造,天井断熱,床断熱,0.45,0.7,0.72,0.53,0.76,4.07,3.21,0.63,0.3
D-1875,6,戸建,木造,天井断熱,床断熱,0.45,0.7,0.72,0.53,0.76,4.07,3.21,0.63,0.3
D-1876,7,戸建,木造,天井断熱,床断熱,0.41,0.51,1.06,0.53,0.76,6.51,4.75,0.7,0.3
D-1877,7,戸建,木造,天井断熱,床断熱,0.41,0.51,1.06,0.53,0.76,4.65,3.59,0.63,0.3
D-1881,6,戸建,木造,天井断熱,基礎断熱,0.3,0.38,-,0.61,0.61,3.49,2.82,0.63,0.3
D-1882,5,戸建,木造,屋根断熱,床断熱,1.02,1.02,0.86,0.53,0.76,3.49,2.82,0.51,0.3
D-1885,5,戸建,木造,天井断熱,床断熱,0.33,0.42,0.46,0.53,0.76,2.91,2.41,0.46,0.27
D-1886,6,戸建,木造,天井断熱,床断熱,0.33,0.42,0.46,0.53,0.76,4.07,3.21,0.51,0.3
D-1887,6,戸建,木造,屋根断熱,基礎断熱,0.36,0.37,-,0.52,0.52,2.33,1.99,0.32,0.21
D-1888,6,戸建,木造,屋根断熱,基礎断熱,0.49,0.5,-,0.52,0.52,2.33,1.99,0.32,0.21
D-1889,6,戸建,木造,屋根断熱,基礎断熱,0.49,0.5,-,0.52,0.52,2.33,1.99,0.32,0.21
D-1890,5,戸建,木造,天井断熱,床断熱,0.23,0.42,0.55,0.53,0.76,2.33,1.99,0.32,0.21
D-1891,5,戸建,木造,天井断熱,床断熱,0.23,0.42,0.48,0.53,0.76,2.33,1.99,0.32,0.21
D-1895,6,戸建,木造,屋根断熱,床断熱,0.3,0.26,0.72,0.53,0.76,4.65,3.59,0.63,0.3
D-1896,5,戸建,木造,屋根断熱,床断熱,1.12,1.69,0.37,0.53,0.76,2.91,2.41,0.29,0.19
D-1897,4,戸建,木造,天井断熱,床断熱,0.41,0.51,0.81,0.53,0.76,4.07,3.21,0.63,0.3
D-1900,7,戸建,木造,天井断熱,床断熱,0.45,0.56,0.62,0.53,0.76,4.65,3.59,0.63,0.3
D-1901,3,戸建,木造,屋根断熱,基礎断熱,0.29,0.4,-,0.66,0.66,2.33,1.99,0.46,0.27
D-1904,6,戸建,木造,天井断熱,床断熱,0.7,0.83,1.06,0.53,0.76,4.65,3.59,0.63,0.3
D-1905,6,戸建,木造,天井断熱,床断熱,0.7,0.83,1.06,0.53,0.76,4.65,3.59,0.63,0.3
D-1906,4,戸建,木造,天井断熱,床断熱,0.2,0.48,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-1907,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.51,0.53,0.76,2.33,1.99,0.32,0.21
D-1909,7,戸建,木造,天井断熱,床断熱,0.45,0.83,1.06,0.53,0.76,4.65,3.59,0.63,0.3
D-1910,7,戸建,木造,天井断熱,床断熱,0.2,0.42,0.47,0.53,0.76,2.33,1.99,0.32,0.21
D-1911,7,戸建,木造,屋根断熱,基礎断熱,0.6,0.61,-,0.49,0.49,3.49,2.82,0.63,0.3
D-1916,5,戸建,木造,天井断熱,床断熱,0.33,0.42,0.48,0.53,0.76,3.49,2.82,0.51,0.3
D-1923,4,戸建,木造,天井断熱,床断熱,0.13,0.37,0.35,0.53,0.76,2.33,1.99,0.29,0.19
D-1924,6,戸建,木造,天井断熱,床断熱,0.41,0.51,0.76,0.53,0.76,4.65,3.59,0.63,0.3
D-1926,6,戸建,木造,天井断熱,床断熱,0.33,0.42,0.92,0.53,0.76,2.33,1.99,0.51,0.3
D-1928,4,戸建,木造,天井断熱,床断熱,0.13,0.29,0.29,0.53,0.76,1.9,1.66,0.29,0.19
D-1929,5,戸建,木造,天井断熱,床断熱,0.45,0.56,0.47,0.53,0.76,4.07,3.21,0.63,0.3
D-1936,5,戸建,木造,天井断熱,床断熱,0.24,0.45,0.38,0.53,0.76,2.15,1.85,0.32,0.21
D-1937,5,戸建,木造,天井断熱,床断熱,0.24,0.45,0.38,0.53,0.76,1.9,1.66,0.29,0.19
D-1939,3,戸建,木造,天井断熱,床断熱,0.25,0.48,0.62,0.37,0.53,2.33,1.99,0.32,0.21
D-1941,5,戸建,木造,天井断熱,床断熱,0.19,0.53,0.29,0.53,0.76,3.49,2.82,0.32,0.21
D-1942,5,戸建,木造,天井断熱,基礎断熱,0.24,0.32,-,0.39,0.39,2.27,1.94,0.3,0.2
D-1945,6,戸建,木造,天井断熱,基礎断熱,0.23,0.39,-,0.52,0.52,2.19,1.88,0.26,0.18
D-1946,5,戸建,木造,天井断熱,床断熱,0.38,0.48,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-1947,6,戸建,木造,屋根断熱,床断熱,0.87,0.45,0.81,0.53,0.76,2.33,1.99,0.29,0.19
D-1948,7,戸建,木造,屋根断熱,基礎断熱,0.5,0.51,-,0.52,0.52,4.07,3.21,0.51,0.3
D-1951,7,戸建,木造,天井断熱,床断熱,0.24,0.51,0.62,0.53,0.76,4.07,3.21,0.32,0.21
D-1953,7,戸建,木造,天井断熱,床断熱,0.41,0.44,1.06,0.53,0.76,4.65,3.59,0.63,0.3
D-1957,6,戸建,木造,天井断熱,床断熱,0.28,0.36,0.72,0.53,0.76,4.07,3.21,0.63,0.3
D-1958,7,戸建,木造,天井断熱,床断熱,0.41,0.78,0.68,0.53,0.76,4.65,3.59,0.63,0.3
D-1963,3,戸建,木造,屋根断熱,床断熱,0.28,0.29,0.29,0.37,0.53,2.33,1.99,0.29,0.19
D-1964,3,戸建,木造,天井断熱,床断熱,0.13,0.29,0.29,0.37,0.53,2.33,1.99,0.29,0.19
D-1965,3,戸建,木造,天井断熱,床断熱,0.15,0.29,0.37,0.37,0.53,2.33,1.99,0.29,0.19
D-1968,5,戸建,木造,天井断熱,床断熱,0.45,0.51,0.48,0.53,0.76,3.49,2.82,0.32,0.21
D-1969,6,戸建,木造,屋根断熱,床断熱,0.31,0.56,0.33,0.53,0.76,2.33,1.99,0.32,0.21
D-1970,6,戸建,木造,屋根断熱,床断熱,0.31,0.56,0.33,0.53,0.76,2.33,1.99,0.32,0.21
D-1981,5,戸建,木造,屋根断熱,床断熱,0.44,0.56,0.51,0.53,0.76,1.9,1.66,0.46,0.27
D-1982,5,戸建,木造,屋根断熱,床断熱,0.44,0.56,0.51,0.53,0.76,1.9,1.66,0.46,0.27
D-1983,5,戸建,木造,屋根断熱,床断熱,0.31,0.61,0.55,0.53,0.76,2.33,1.99,0.32,0.21
D-1987,4,戸建,木造,屋根断熱,基礎断熱,0.34,0.48,-,0.51,0.51,2.33,1.99,0.51,0.3
D-1988,5,戸建,木造,天井断熱,基礎断熱,0.23,0.29,-,0.42,0.42,2.27,1.94,0.47,0.3
D-1990,6,戸建,木造,天井断熱,床断熱,0.25,0.61,0.48,0.53,0.76,3.49,2.82,0.32,0.21
D-1991,4,戸建,木造,天井断熱,床断熱,0.25,0.42,0.55,0.53,0.76,2.33,1.99,0.32,0.21
D-1992,6,戸建,木造,天井断熱,基礎断熱,0.23,0.29,-,0.52,0.52,2.33,1.99,0.51,0.3
D-1994,6,戸建,木造,屋根断熱,床断熱,0.55,0.56,0.48,0.53,0.76,3.49,2.82,0.51,0.3
D-1995,6,戸建,木造,屋根断熱,床断熱,0.55,0.56,0.48,0.53,0.76,3.49,2.82,0.51,0.3
D-1996,5,戸建,木造,屋根断熱,床断熱,0.31,0.61,0.68,0.53,0.76,2.33,1.99,0.29,0.19
D-1997,5,戸建,木造,屋根断熱,基礎断熱,0.31,0.61,-,0.58,0.58,2.33,1.99,0.29,0.19
D-1999,6,戸建,木造,天井断熱,床断熱,0.45,0.56,1.06,0.53,0.76,4.65,3.59,0.63,0.3
D-2000,3,戸建,木造,天井断熱,床断熱,0.3,0.53,0.37,0.37,0.53,3.49,2.82,0.32,0.21
D-2002,3,戸建,木造,天井断熱,床断熱,0.35,0.3,0.39,0.37,0.53,2.91,2.41,0.46,0.27
D-2003,5,戸建,木造,天井断熱,床断熱,0.45,0.56,0.62,0.53,0.76,4.65,3.59,0.63,0.3
D-2005,5,戸建,木造,屋根断熱,基礎断熱,0.35,0.36,-,0.44,0.44,1.9,1.66,0.46,0.27
D-2010,5,戸建,木造,天井断熱,床断熱,0.96,1.11,0.72,0.53,0.76,4.07,3.21,0.63,0.3
D-2013,5,戸建,木造,屋根断熱,床断熱,0.31,0.56,0.46,0.53,0.76,3.49,2.82,0.32,0.21
D-2015,5,戸建,木造,屋根断熱,基礎断熱,0.29,0.25,-,0.44,0.44,2.33,1.99,0.32,0.21
D-2016,6,戸建,木造,屋根断熱,基礎断熱,0.29,0.25,-,0.44,0.44,2.33,1.99,0.32,0.21
D-2017,6,戸建,木造,天井断熱,床断熱,0.23,0.48,0.46,0.53,0.76,2.15,1.85,0.32,0.21
D-2018,5,戸建,木造,屋根断熱,基礎断熱,0.31,0.61,-,0.55,0.55,3.49,2.82,0.32,0.21
D-2020,6,戸建,木造,天井断熱,床断熱,0.45,0.51,0.48,0.53,0.76,2.33,1.99,0.32,0.21
D-2021,6,戸建,木造,天井断熱,床断熱,0.45,0.51,0.48,0.53,0.76,2.33,1.99,0.32,0.21
D-2022,6,戸建,木造,屋根断熱,床断熱,0.66,0.46,0.43,0.53,0.76,1.9,1.66,0.29,0.19
D-2023,5,戸建,木造,天井断熱,基礎断熱,0.23,0.29,-,0.52,0.52,3.49,2.82,0.51,0.3
D-2024,6,戸建,木造,天井断熱,床断熱,0.33,0.42,0.48,0.53,0.76,2.33,1.99,0.51,0.3
D-2025,6,戸建,木造,屋根断熱,床断熱,0.31,0.61,0.48,0.53,0.76,2.15,1.85,0.51,0.3
D-2027,6,戸建,木造,天井断熱,床断熱,0.45,0.7,1.06,0.53,0.76,4.65,3.59,0.63,0.3
D-2029,3,戸建,木造,天井断熱,床断熱,0.22,0.42,0.35,0.37,0.53,2.91,2.41,0.29,0.19
D-2032,6,戸建,木造,天井断熱,床断熱,0.58,0.7,0.81,0.53,0.76,4.65,3.59,0.63,0.3
D-2052,6,戸建,木造,屋根断熱,床断熱,0.55,0.61,0.49,0.53,0.76,2.33,1.99,0.32,0.21
